1,"Participant 1","Consistant","Target 1 Raw Latency",952,1045,904,1872,905,1092,1467,998,780,1077,1077,1014,1076,858,1076,983,1591,1326,1060,1841,1638,1591,1388,2215,998,1528,1060,1903,1903,874,1014,920
1,"Participant 1","Consistant","Target 2 Raw Latency",952,1389,1045,1060,1045,890,936,827,827,1794,1498,968,1419,905,2543,2168,827,1576,2043,1763,999,921,998,1872,2106,1420,1294,1139,1342,1794,905,951
1,"Participant 1","Consistant","Target 3 Raw Latency",717,1155,1092,1358,1154,920,1279,2699,842,1077,1389,1466,890,1357,1186,998,749,952,1138,999,1280,1373,1373,1045,842,968,2808,1045,1248,1092,1467,1950
1,"Participant 1","Consistant","Target 4 Raw Latency",1045,999,1373,1653,1435,889,1513,1201,780,843,1076,1029,905,1014,1108,1670,858,1045,1155,1794,827,936,889,1450,967,1467,1108,2216,1124,952,1046,1092
1,"Participant 1","Consistant","Target 5 Raw Latency",1731,967,1014,1435,998,951,1357,1264,1092,890,1560,1045,1373,1279,1544,1794,1544,1311,998,1638,1575,998,1607,1341,1201,1778,1872,1560,920,1170,4228,1186
1,"Participant 1","Consistant","Target 6 Raw Latency",1732,1061,983,1061,1045,1061,1107,1030,843,780,1076,999,1669,843,920,1155,952,1014,1810,811,983,843,983,1232,920,936,1576,1638,1060,1030,1232,999
1,"Participant 1","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 1","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 1","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 1","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 1","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 1","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 1","Consistant","Target 1 Accuracy","Wrong","Correct","Correct","Wrong","Correct","Correct","Wrong","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Wrong","Wrong","Correct","Wrong","Wrong","Wrong"
1,"Participant 1","Consistant","Target 2 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Wrong","Wrong","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Wrong","Wrong","Wrong","Correct","Correct","Correct","Correct"
1,"Participant 1","Consistant","Target 3 Accuracy","Correct","Wrong","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Wrong","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Wrong","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 1","Consistant","Target 4 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 1","Consistant","Target 5 Accuracy","Correct","Correct","Correct","Wrong","Correct","Correct","Wrong","Correct","Wrong","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 1","Consistant","Target 6 Accuracy","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Wrong","Wrong","Correct","Wrong","Correct","Correct","Wrong","Wrong","Correct","Correct","Correct","Correct","Wrong","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 1","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 1","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 1","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 1","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 1","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 1","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
